id,zh,en
6064,在一个强调群体对于个体的重要性，并且人们几乎不惜一切代价避免丢面子的社会中，这样的方法可能很有效，但并非所有冲突都可以避免。,"Effective though such techniques may be in societies that stress the importance of the group over the individual, and where loss of face is to be avoided at almost any cost, not all conflict is avoided."
6064,当试图挽回和谐的所有其他方法都失败了，同胞兄弟姐妹们也许就不得不要求分家析产。以便各自独立门户，这样，新家庭就诞生了。,"When all else fails to restore harmony, siblings may be forced to demand their share of family assets to set up separate households, and in this way new families arise."
6064,离婚也是可能的，尽管在不同的社会中离婚的难易程度有相当大的不同。,"Divorce, too, may be possible, although how easily this may be accomplished varies considerably from one society to another."
6064,在实行从母居的社会中，离婚率一般比较高，这反映出人们能够很容易地终止自己不满意的婚姻。,"In societies that practice matrilocal residence, divorce rates tend to be high, reflecting how easily unsatisfactory marriages can be terminated."
6065,影响存在的瞬间的重要性的是它们被感知的强度；还有就是经历带来的出乎意料。,What makes moments of being more or less significant is their felt intensity; also their unexpectedness as experiences.
6065,"与那些把它们并置或概括它们的瞬间相比,这些因素在存在的瞬间中发生得更多。","In comparison with the moments which juxtapose or encapsulate them, far more has happened within them."
6065,这就是，费尔南德斯（Fernandez 1986：xi）所说的，“突然具有了一系列重要意义的瞬间”变成了“启示性的事件”。,"Here are, in Fernandez's words (1986: xi), ""moments of a sudden constellation of significances"" which become ""'revelatory incidents'""."
6066,代码也必须携带信息，这些信息是否含蓄，取决于它们所含信息的种类、对象和随后的加工过程。,"Codes must also carry information, however implicitly, concerning what kind of information they contain, who it is for, and what is to be done with it."
6066,信息不仅仅涉及外部事件，而且处于代码系统中的这些信息也会传递关于系统本身及其使用者的讯息。,"Besides information about external events, therefore, the messages in a codification system also convey information about thesystem itself and those who are using it."
6066,因此，讯息不仅交换信息，而且是交流的交流，或者说是“元信息传递”（Bateson 1951: 209）。,"Hence, not only do the messages communicate information, they are also communications about communication, or ‘metacommunications’ (Bateson 1951:209)."
6067,尽管有点失望，但我还是尊重我朋友说的理由，焦急地等待下一个合适人选。,
6067,这也是我朋友社交倶乐部一个女子的女儿。我朋友对这一家明显有兴趣，我可以看出理由。该家族声望显赫；事实上，他们来自稍髙于我朋友家的一个种姓分支。姑娘是独养女儿，相貌标致，受过良好教會，有一个兄弟在美国留学。,"Somewhat disappointed, I nevertheless respected my friend's reasoning and geared up for the next prospect This was also ""the daughter of a woman in my friend's social club.There was clear interest in this family and I could see why.The family's reputation was excellent; in fact, they came from a sub-caste slightly higher than my friend’s own.The girl, who was an only daughter, was pretty and well educated and had a brother studying in the United States."
6067,"然而，在向我表达了对这一家的兴趣后,突然不再提起了它了，又开始在其他地方寻觅。","Yet, after expressing an interest to me in this family, all talk of them suddenly died down and the search began elsewhere."
6068,我们应该注意到，这种社会流动性并没有就这样挑战了种姓等级制度：相反，它公开地支持了它。,"This kind of social mobility, we should note, does not challenge the caste hierarchy as such: rather, it openly endorses it."
6068,这种政治冲突是所谓的种姓冲突，它是一种不同的类型。,The type of political conflict spoken of as caste conflict is of a different kind.
6068,潘（Pan）这个种姓是低级的、仪式上肮脏的和贫穷的种姓，其首领被甘地的种姓平等的观念所激励。,"The Pan caste was a lowly, ritually polluting and poor caste whose leaders were inspired by Gandhi's notions of caste equality."
6068,在一些场合，他们试图进入只为高级种姓服务的庙宇，但却被驱逐出来。,"On several occasions they had tried to enter a temple reserved for the high castes, but had been evicted."
6068,于是他们建造了自己的庙宇，并宣布他们自己是一个干净的种姓。,They then built their own temple and declared themselves a clean caste.
6068,这个策略并没有被比斯帕拉的其他种姓所接受，他们将其看成是对规则的公然违背，而这无助于提高潘这个种姓被社会所定义的等级。,"This strategy was not accepted by the other castes in Bisipara, who saw it at a blatant breach of rules, and it did not help in improving the socially defined rank of the Pan caste."
6069,另一个主要观点，深受列宁（Lenin）和托洛茨基（Trotsky）对帝国主义的分析的影响，他们强调了富裕国家对贫穷国家的剥削，而且两者的经济和政治的接触不会导致后者的“发展”，相反，而是导致它们激烈的欠发达状态。,"The other main view, which is influenced by Lenin's and Trotsky's analyses of imperialism, instead emphasises the ways in which the rich countries exploit the poor ones and that economic and political contact does not lead to the ""development"" of the latter, but instead to their active underdevelopment."
6069,巨大的国家债务、贫穷国家售出商品（多数是原材料）的低廉价格、跨国公司对利润的榨取都是这种结构不平等的症状（例如，参见Frank 1979）。,"Large state debts, low prices put on the goods the poor countries sell (mostly raw materials) and the extraction of profits by multinational companies are symptoms of this situation of structural inequality (see for instance Frank 1979)."
